"","Karlsruher SC","Eintracht Frankfurt","Hamburger SV","Hertha BSC","SC Freiburg","FC St. Pauli","FC Bayern München","VfL Borussia Mönchengladbach","SpVgg Greuther Fürth","DSC Arminia Bielefeld","Werder Bremen","RasenBallsport Leipzig","Hannover 96","MSV Duisburg","VfB Stuttgart","SC Preußen Münster","Fortuna 95 Düsseldorf","FC Schalke 04","TSV 1860 München","1. FC Kaiserslautern","1. FC Köln","1. FC Union Berlin","FC Hansa Rostock","Eintracht Braunschweig","BSG Chemie Leipzig","SV Waldhof Mannheim","BV 09 Borussia Dortmund","1. FC Magdeburg","SV Darmstadt 98","FC Carl Zeiss Jena","VfL Bochum","SG Dynamo Dresden","Rot-Weiß Oberhausen","1. FC Nürnberg","Hallescher FC","Rot-Weiss Essen","1. FSV Mainz 05","FC Erzgebirge Aue","Wuppertaler SV","TSG 1899 Hoffenheim","KSV Hessen Kassel","FC Energie Cottbus","VfB Oldenburg","1. FC Heidenheim","Kickers Offenbach","Fortuna Köln","SC Paderborn 07","FC Augsburg","1. FC Lokomotive Leipzig","Alemannia Aachen","FC Rot-Weiß Erfurt","Bayer 04 Leverkusen","VfR Aalen","VfL Osnabrück","VfL Wolfsburg","1. FC Saarbrücken","Stuttgarter Kickers","Holstein Kiel","Chemnitzer FC","BFC Dynamo","SV Meppen","FSV Zwickau","Werder Bremen II","SV Wehen 1926 Wiesbaden","SV Babelsberg 03","Würzburger Kickers","SSV Jahn 2000 Regensburg","SpVgg Unterhaching","VfB Lübeck","Bonner SC","FC Viktoria Köln","SV 1916 Sandhausen","Altona 93","FC Ingolstadt 04","FSV Frankfurt","KFC Uerdingen 05","Sportfreunde Lotte","1. FC Schweinfurt 05","SG Sonnenhof Großaspach"
"VfB Oldenburg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1. FC Heidenheim",0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kickers Offenbach",0,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fortuna Köln",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"SC Paderborn 07",0,0,0,0,0,0,3,0,0,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FC Augsburg",0,0,5,3,0,0,58,0,1,0,4,11,0,0,12,0,0,1,119,0,0,0,0,0,0,0,2,0,0,0,0,1,0,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0
"1. FC Lokomotive Leipzig",0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alemannia Aachen",0,0,0,0,0,0,2,68,0,0,1,0,0,0,0,1,4,1,0,0,52,0,0,0,0,4,2,0,0,0,1,1,2,0,0,51,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FC Rot-Weiß Erfurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bayer 04 Leverkusen",0,9,1,0,0,1,34,27,0,0,6,6,0,0,1,0,6,9,0,0,359,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"VfR Aalen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VfL Osnabrück",0,0,0,0,0,1,1,0,0,21,0,0,1,0,0,116,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"VfL Wolfsburg",0,2,23,3,0,0,5,0,0,0,2,1,65,0,0,0,0,4,0,0,1,0,0,182,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. FC Saarbrücken",2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Stuttgarter Kickers",4,0,0,0,0,0,0,0,0,0,0,1,0,0,82,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
"Holstein Kiel",0,1,23,0,0,35,8,0,0,0,2,1,1,0,0,0,5,0,0,0,0,0,16,2,0,0,1,0,2,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,1,0,0,1,0,0
"Chemnitzer FC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFC Dynamo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SV Meppen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FSV Zwickau",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Werder Bremen II",0,0,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SV Wehen 1926 Wiesbaden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0
"SV Babelsberg 03",0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Würzburger Kickers",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
