club_name,city,log_market_value,liga_numeric,club_age,stadium_capacity,members,WKR_NAME,gdp,unemployment_rate,region,perc_afd_2017,east_west_binary,log_members,love_out_hhi,hate_out_hhi,love_in_hhi,hate_in_hhi,liga_factor
VfB Lübeck,Lübeck,0.8544153281560676,1,99,10434,1819,Lübeck,32100,4.475,Schleswig-Holstein,9.68017452509827,0,7.506042178518122,0.22314049586776866,0.33989243080152176,0.6628863525611013,0.6893084355390107,Regional
VfB Oldenburg,Oldenburg,0.4252677354043441,1,121,15200,665,Oldenburg – Ammerland,34800,4.16666666666667,Niedersachsen,7.67439963818887,0,6.499787040655854,0,0.38177623990772797,0.42580630323474317,0.5044614896738714,Regional
VfB Stuttgart,Stuttgart,4.37197629882038,4,125,60058,126000,Stuttgart II,51800,3.525,Baden-Württemberg,11.7976461655277,0,11.744037185933616,0.09681619555475832,0.37415326556867706,0.28224924982601873,0.1871340647111741,Bundesliga
VfL Bochum,Bochum,2.7819200496686656,3,69,26000,32000,Bochum I,33900,5.675,Nordrhein-Westfalen,10.8413714067424,0,10.373491181781864,0.5310187913985761,0.27704021527410677,0.20225877673610534,0.5387176980362368,2nd
VfL Borussia Mönchengladbach,Mönchengladbach,5.15010733938285,4,118,54042,106500,Mönchengladbach,40400,5.175,Nordrhein-Westfalen,10.3944719296648,0,11.575900264131617,0.08537115668751269,0.4354272225096521,0.06656641545688409,0.2372211189783394,Bundesliga
VfL Osnabrück,Osnabrück,1.7404661748405046,2,119,15741,8785,Stadt Osnabrück,34800,4.16666666666667,Niedersachsen,6.89311209222042,0,9.080801000621198,0.05468235294117651,0.3732226321090744,0.33142061572328074,0.2317079174730676,3rd
VfL Wolfsburg,Wolfsburg,5.038120751031117,4,73,28917,NA,Helmstedt – Wolfsburg,46500,5.775,Niedersachsen,11.7454858125537,0,8.517193191416238,0.03167192304074232,0.3831033870315576,0.1808390639431936,0.17037549653938358,Bundesliga
VfR Aalen,Aalen,1.5953389880545987,2,97,14500,1100,Aalen – Heidenheim,51800,3.525,Baden-Württemberg,12.9342040278769,0,7.003065458786462,0.32653061224489804,0.64,0.31953572780840717,0.8346974931113871,3rd
Werder Bremen,Bremen,4.310127759130018,4,119,42100,62500,Bremen I,47600,4.35,Bremen,9.34567578664477,0,11.042921835724492,0.15794437261824906,0.5031515266594918,0.06243192445662905,0.502335780801749,Bundesliga
Werder Bremen II,Bremen,2.551786178627545,1,119,42100,62500,Bremen I,47600,4.35,Bremen,9.34567578664477,0,11.042921835724492,0.08854166666666667,0.21874999999999997,0.3803859849845902,0.4395862425823445,Regional
Wuppertaler SV,Wuppertal,0.9082585601768908,1,64,23067,1700,Bremen I,47600,4.35,Bremen,9.34567578664477,0,7.438383530044307,0.24260355029585792,0.41149841557265743,0.32346229295484225,0.1748095967132661,Regional
Würzburger Kickers,Würzburg,0.5481214085096876,1,111,13090,1400,Bremen I,47600,4.35,Bremen,9.34567578664477,0,7.24422751560335,0.3600000000000003,0.528925619834711,0.9600645022541417,0.5550561486973972,Regional
